datetime,active_sending_addresses,active_receiving_addresses
2024-11-08 02:02:00.000 UTC,5543,3898
2024-11-08 02:59:00.000 UTC,4277,10978
2024-11-08 03:03:00.000 UTC,5324,6753
2024-11-08 03:06:00.000 UTC,4901,6192
2024-11-08 03:09:00.000 UTC,3991,6908
2024-11-08 03:29:00.000 UTC,4080,9279
2024-11-08 03:46:00.000 UTC,13217,7641
2024-11-08 03:52:00.000 UTC,6482,3082
2024-11-08 03:59:00.000 UTC,5057,5485
2024-11-08 04:08:00.000 UTC,3038,3811
2024-11-08 04:22:00.000 UTC,4824,5096
2024-11-08 04:29:00.000 UTC,3730,2711
2024-11-08 04:31:00.000 UTC,1522,793
2024-11-08 04:40:00.000 UTC,6460,4288
2024-11-08 04:48:00.000 UTC,5267,3883
2024-11-08 04:49:00.000 UTC,63,75
2024-11-08 04:51:00.000 UTC,1462,1148
2024-11-08 05:01:00.000 UTC,4274,3929
2024-11-08 05:12:00.000 UTC,3028,3999
2024-11-08 05:28:00.000 UTC,4802,5722
2024-11-08 05:41:00.000 UTC,4747,5097
2024-11-08 06:01:00.000 UTC,5669,6823
2024-11-08 06:02:00.000 UTC,1337,1391
2024-11-08 06:44:00.000 UTC,5542,7700
2024-11-08 06:45:00.000 UTC,5991,3906
2024-11-08 07:02:00.000 UTC,5789,5642
2024-11-08 07:06:00.000 UTC,5487,1876
2024-11-08 07:08:00.000 UTC,5720,3887
2024-11-08 07:16:00.000 UTC,6645,4198
2024-11-08 07:22:00.000 UTC,2375,2946
2024-11-08 07:24:00.000 UTC,641,860
2024-11-08 07:44:00.000 UTC,5643,6995
2024-11-08 07:49:00.000 UTC,8234,3660
2024-11-08 07:56:00.000 UTC,2398,3019
2024-11-08 08:27:00.000 UTC,6718,7433
2024-11-08 08:36:00.000 UTC,6026,7568
2024-11-08 08:46:00.000 UTC,5307,5433
2024-11-08 08:55:00.000 UTC,5889,5533
2024-11-08 09:20:00.000 UTC,6058,7597
2024-11-08 09:29:00.000 UTC,5360,6615
2024-11-08 09:39:00.000 UTC,2732,4064
2024-11-08 09:47:00.000 UTC,2955,4000
2024-11-08 09:59:00.000 UTC,4081,3054
2024-11-08 10:01:00.000 UTC,4040,4942
2024-11-08 10:08:00.000 UTC,5221,4709
2024-11-08 10:57:00.000 UTC,5320,7737
2024-11-08 10:59:00.000 UTC,6409,2633
2024-11-08 11:17:00.000 UTC,5840,5446
2024-11-08 11:18:00.000 UTC,6205,3928
2024-11-08 11:25:00.000 UTC,5743,5204
2024-11-08 11:34:00.000 UTC,6039,5793
2024-11-08 11:43:00.000 UTC,5493,5451
2024-11-08 12:06:00.000 UTC,5164,8363
2024-11-08 12:07:00.000 UTC,9485,7740
2024-11-08 12:35:00.000 UTC,5082,8147
2024-11-08 12:57:00.000 UTC,3806,7176
2024-11-08 13:06:00.000 UTC,4170,3561
2024-11-08 13:18:00.000 UTC,5332,7949
2024-11-08 13:19:00.000 UTC,6322,6258
2024-11-08 13:20:00.000 UTC,4859,6315
2024-11-08 13:53:00.000 UTC,4704,9161
2024-11-08 13:55:00.000 UTC,5577,7718
2024-11-08 14:01:00.000 UTC,4336,6157
2024-11-08 14:15:00.000 UTC,4588,6925
2024-11-08 14:16:00.000 UTC,5836,3336
2024-11-08 14:20:00.000 UTC,5368,3363
2024-11-08 14:26:00.000 UTC,4385,5131
2024-11-08 14:29:00.000 UTC,4218,3092
2024-11-08 14:50:00.000 UTC,9098,11759
2024-11-08 15:13:00.000 UTC,5673,8011
2024-11-08 15:22:00.000 UTC,4471,7344
2024-11-08 15:30:00.000 UTC,5323,6212
2024-11-08 15:35:00.000 UTC,4190,5596
2024-11-08 15:45:00.000 UTC,4036,6153
2024-11-08 16:00:00.000 UTC,4205,7273
2024-11-08 16:07:00.000 UTC,3213,4426
2024-11-08 16:21:00.000 UTC,4618,6621
2024-11-08 16:24:00.000 UTC,3335,4622
2024-11-08 16:39:00.000 UTC,5003,6668
2024-11-08 16:52:00.000 UTC,4976,6703
2024-11-08 16:56:00.000 UTC,4755,7136
2024-11-08 16:57:00.000 UTC,3412,4349
2024-11-08 16:58:00.000 UTC,5095,3876
2024-11-08 17:03:00.000 UTC,6328,5100
2024-11-08 17:13:00.000 UTC,4682,5653
2024-11-08 17:15:00.000 UTC,4539,3532
2024-11-08 17:27:00.000 UTC,4634,8781
2024-11-08 17:31:00.000 UTC,3695,3857
2024-11-08 17:39:00.000 UTC,4761,6767
2024-11-08 17:46:00.000 UTC,3502,6177
2024-11-08 17:48:00.000 UTC,4422,3313
2024-11-08 17:54:00.000 UTC,4031,5335
2024-11-08 18:03:00.000 UTC,4156,6618
2024-11-08 18:09:00.000 UTC,4399,5053
2024-11-08 18:24:00.000 UTC,4958,7352
2024-11-08 18:31:00.000 UTC,5288,6225
2024-11-08 18:33:00.000 UTC,4916,2733
2024-11-08 18:43:00.000 UTC,5478,5491
2024-11-08 19:00:00.000 UTC,5501,9169
2024-11-08 19:04:00.000 UTC,5176,5389
2024-11-08 19:08:00.000 UTC,4869,3303
2024-11-08 19:29:00.000 UTC,5855,9454
2024-11-08 19:40:00.000 UTC,6134,8258
2024-11-08 19:48:00.000 UTC,5426,5520
2024-11-08 19:51:00.000 UTC,5821,5152
2024-11-08 19:58:00.000 UTC,4517,4575
2024-11-08 20:46:00.000 UTC,4385,11905
2024-11-08 20:58:00.000 UTC,5783,7896
2024-11-08 21:01:00.000 UTC,5503,5899
2024-11-08 21:11:00.000 UTC,5591,9301
2024-11-08 21:26:00.000 UTC,5904,8547
2024-11-08 21:39:00.000 UTC,4602,7235
2024-11-08 21:49:00.000 UTC,4761,7182
