minute,total_reward,mint_reward,total_fee,transaction_count
2025-08-04 17:54:00.000 UTC,360271.0357142857,360271.0357142857,0,1
2025-08-04 18:01:00.000 UTC,362828.25973174826,360124.4419642858,2703.8177674624794,2371
2025-08-04 18:02:00.000 UTC,361050.8929178911,360124.44196428574,926.4509536053521,648
2025-08-04 18:12:00.000 UTC,363331.924449536,360107.5,3224.4244495360194,3126
2025-08-04 18:22:00.000 UTC,362690.78885120363,359997.79910714284,2692.989744060817,3462
2025-08-04 18:28:00.000 UTC,361554.8444310954,360256.3169642857,1298.5274668097143,1547
2025-08-04 18:37:00.000 UTC,363247.4851008704,360242.2142857143,3005.2708151561287,2956
2025-08-04 18:45:00.000 UTC,362313.73428015993,359775.62946428574,2538.1048158741546,2428
2025-08-04 18:48:00.000 UTC,721465.3642875747,719551.2589285717,1914.1053590030442,8739
2025-08-04 18:53:00.000 UTC,361769.1408839595,359804.2767857142,1964.8640982452935,3504
2025-08-04 18:57:00.000 UTC,360812.26324613986,359583.9910714284,1228.272174711461,4516
2025-08-04 19:01:00.000 UTC,361484.4111087263,359459.57589285704,2024.8352158692855,4019
2025-08-04 19:12:00.000 UTC,362860.80679858616,359473.00892857136,3387.797870014787,3145
2025-08-04 19:13:00.000 UTC,360033.8259331634,359473.0089285715,560.8170045919264,5037
2025-08-04 19:15:00.000 UTC,360209.17153770186,359479.87946428574,729.2920734160849,641
2025-08-04 19:17:00.000 UTC,360557.63695365936,359479.8794642857,1077.757489373634,4328
2025-08-04 19:32:00.000 UTC,362951.1042882967,359325.0044642857,3626.099824011028,3356
2025-08-04 19:49:00.000 UTC,362704.4427420871,358961.7410714285,3742.7016706585873,3725
2025-08-04 19:55:00.000 UTC,360495.19548641524,358786.29464285704,1708.9008435582086,3330
2025-08-04 19:56:00.000 UTC,359969.37436661276,358786.29464285704,1183.0797237557308,4778
2025-08-04 20:07:00.000 UTC,361612.92044718825,358624.69196428574,2988.2284829025334,2818
2025-08-04 20:16:00.000 UTC,360968.7921810295,358617.88839285716,2350.9037881723702,3772
2025-08-04 20:23:00.000 UTC,360483.4461888604,358494.4330357142,1989.0131531462223,4252
2025-08-04 20:24:00.000 UTC,358869.7944884266,358494.4330357143,375.36145271227133,424
2025-08-04 20:26:00.000 UTC,359777.05716999975,358808.3080357144,968.7491342853576,3735
2025-08-04 20:29:00.000 UTC,359626.8801055213,358808.3080357144,818.5720698068874,2040
2025-08-04 20:45:00.000 UTC,363125.74197837367,359606.75000000006,3518.9919783736377,3052
2025-08-04 20:46:00.000 UTC,719977.0032427007,719213.4999999999,763.5032427008052,1670
2025-08-04 20:47:00.000 UTC,359691.3329598248,359606.75,84.5829598248,62
2025-08-04 20:49:00.000 UTC,360340.4973664081,359606.7500000001,733.7473664079913,938
2025-08-04 20:57:00.000 UTC,361324.8316829717,359388.06696428574,1936.764718685915,2152
2025-08-04 20:58:00.000 UTC,359605.8963843296,359388.06696428574,217.82942004385686,294
2025-08-04 21:13:00.000 UTC,362635.9877500608,359301.2410714286,3334.7466786321665,3410
2025-08-04 21:16:00.000 UTC,360521.98233287147,359572.04017857136,949.9421543001218,1077
2025-08-04 21:20:00.000 UTC,360963.63266659615,359858.7901785715,1104.8424880247005,1413
2025-08-04 21:30:00.000 UTC,362053.7932018436,359534.3125000001,2519.480701843508,4475
2025-08-04 21:48:00.000 UTC,364023.81725473114,360283.9419642857,3739.875290445483,3691
2025-08-04 21:50:00.000 UTC,360862.2819860255,360293.2008928571,569.0810931683908,7061
2025-08-04 21:54:00.000 UTC,361759.1687862795,360293.20089285716,1465.967893422321,1310
2025-08-04 22:19:00.000 UTC,365109.08286664047,360211.1517857143,4897.931080926134,3498
2025-08-04 22:39:00.000 UTC,364311.52133533,360195.12499999994,4116.396335330021,3631
2025-08-04 22:57:00.000 UTC,363589.096062677,360410.86160714284,3178.2344555340937,2603
2025-08-04 23:10:00.000 UTC,364201.94735505746,360472.9464285715,3729.0009264860437,3600
2025-08-04 23:13:00.000 UTC,362140.11131229176,360472.9464285715,1667.1648837202827,2493
2025-08-04 23:36:00.000 UTC,364461.48527686077,360366.62946428574,4094.8558125750324,3128
2025-08-04 23:47:00.000 UTC,363057.88142611866,360270.76339285716,2787.1180332615113,2997
