datetime,exchange_netflow_usd
2024-11-07 07:36:00.000 UTC,16329293.259455474
2024-11-07 07:54:00.000 UTC,8765766.470696762
2024-11-07 08:01:00.000 UTC,-4282205.420661569
2024-11-07 08:35:00.000 UTC,120744434.91832095
2024-11-07 08:38:00.000 UTC,-72422147.64296813
2024-11-07 08:41:00.000 UTC,8386196.504184976
2024-11-07 08:47:00.000 UTC,70616.5512612015
2024-11-07 08:49:00.000 UTC,1688232.9887225414
2024-11-07 09:01:00.000 UTC,4920897.882972822
2024-11-07 09:03:00.000 UTC,734651.7083216459
2024-11-07 09:32:00.000 UTC,17067246.315142334
2024-11-07 09:40:00.000 UTC,30676981.16747523
2024-11-07 09:44:00.000 UTC,-1411631.4287233762
2024-11-07 09:59:00.000 UTC,5222513.823715426
2024-11-07 10:00:00.000 UTC,5510917.15676412
2024-11-07 10:22:00.000 UTC,-32139538.07985443
2024-11-07 10:31:00.000 UTC,1288133.6825651377
2024-11-07 10:34:00.000 UTC,650488.8849983215
2024-11-07 11:14:00.000 UTC,3641012.258182317
2024-11-07 11:23:00.000 UTC,28355078.68348708
2024-11-07 11:25:00.000 UTC,-83796751.38049117
2024-11-07 11:30:00.000 UTC,1094425.8897674223
2024-11-07 11:32:00.000 UTC,3335872.0761014316
2024-11-07 11:33:00.000 UTC,102049.42996447021
2024-11-07 11:35:00.000 UTC,174170.80099414053
2024-11-07 11:49:00.000 UTC,10722634.362099238
2024-11-07 12:00:00.000 UTC,-25000275.134925917
2024-11-07 12:29:00.000 UTC,-2251484.9632381573
2024-11-07 12:34:00.000 UTC,-2611537.528712582
2024-11-07 12:37:00.000 UTC,-11536054.825601276
2024-11-07 12:42:00.000 UTC,-66882301.733608924
2024-11-07 12:46:00.000 UTC,629841.3881214624
2024-11-07 12:55:00.000 UTC,-4283420.261072015
2024-11-07 13:03:00.000 UTC,-14263428.414599068
2024-11-07 13:15:00.000 UTC,915273.5975356102
2024-11-07 13:26:00.000 UTC,7560937.509494096
2024-11-07 13:29:00.000 UTC,665860.0432945174
2024-11-07 13:39:00.000 UTC,4913499.371391397
2024-11-07 14:05:00.000 UTC,10653454.696197093
2024-11-07 14:09:00.000 UTC,1152377.1195789976
2024-11-07 14:11:00.000 UTC,-890150.7165478255
2024-11-07 14:17:00.000 UTC,43707730.78524347
2024-11-07 14:18:00.000 UTC,714656.2624254327
2024-11-07 14:31:00.000 UTC,695669.3789693099
2024-11-07 14:40:00.000 UTC,-35851494.24315211
2024-11-07 14:55:00.000 UTC,24363138.891332433
2024-11-07 15:04:00.000 UTC,14063814.691775661
2024-11-07 15:18:00.000 UTC,36970717.12848937
2024-11-07 15:19:00.000 UTC,3035975.3726122044
2024-11-07 15:33:00.000 UTC,26837517.72265421
2024-11-07 15:44:00.000 UTC,15988979.474463582
2024-11-07 16:04:00.000 UTC,49093672.392108604
2024-11-07 16:12:00.000 UTC,3169556.5592940934
2024-11-07 16:18:00.000 UTC,12190118.758470044
2024-11-07 16:22:00.000 UTC,-4212071.17130452
2024-11-07 16:32:00.000 UTC,-38086817.60829607
2024-11-07 16:35:00.000 UTC,5915474.053068399
2024-11-07 16:38:00.000 UTC,-98506582.7863034
2024-11-07 16:42:00.000 UTC,7319618.300861657
2024-11-07 16:50:00.000 UTC,-20729575.01415846
2024-11-07 17:07:00.000 UTC,33423502.218203604
2024-11-07 17:09:00.000 UTC,296409.7033739686
2024-11-07 17:17:00.000 UTC,25914694.58718975
2024-11-07 17:27:00.000 UTC,8265597.80440028
2024-11-07 17:42:00.000 UTC,110553352.75031908
2024-11-07 17:49:00.000 UTC,9124585.113416944
2024-11-07 17:59:00.000 UTC,1046810.182174027
2024-11-07 18:04:00.000 UTC,551244.1041975319
2024-11-07 18:18:00.000 UTC,7939165.986601472
2024-11-07 18:23:00.000 UTC,10632936.999561682
2024-11-07 18:28:00.000 UTC,10374204.284365803
2024-11-07 18:52:00.000 UTC,-33054021.578036427
2024-11-07 19:01:00.000 UTC,-25394132.040820822
2024-11-07 19:17:00.000 UTC,25583062.764904767
2024-11-07 19:38:00.000 UTC,29739351.53248608
2024-11-07 19:40:00.000 UTC,-384089.9181475276
2024-11-07 19:55:00.000 UTC,-9430865.55259946
2024-11-07 19:59:00.000 UTC,678268.3601465374
2024-11-07 20:20:00.000 UTC,30657364.386261202
2024-11-07 20:44:00.000 UTC,80833022.72165117
2024-11-07 21:06:00.000 UTC,18535793.641624272
2024-11-07 21:14:00.000 UTC,41240468.564335465
2024-11-07 21:28:00.000 UTC,-17349639.4173508
2024-11-07 21:42:00.000 UTC,4191977.5128049552
2024-11-07 21:43:00.000 UTC,49521834.946676575
2024-11-07 21:53:00.000 UTC,14616876.757913202
2024-11-07 22:12:00.000 UTC,-42002.918736901134
2024-11-07 22:21:00.000 UTC,22122250.3615395
2024-11-07 22:22:00.000 UTC,123.53016157380034
2024-11-07 22:23:00.000 UTC,1928338.9659741663
2024-11-07 22:25:00.000 UTC,812434.7849423457
2024-11-07 22:33:00.000 UTC,1769818.451040808
2024-11-07 22:44:00.000 UTC,-56590315.28007249
2024-11-07 22:45:00.000 UTC,-162126.76631466002
2024-11-07 22:52:00.000 UTC,-10181457.500870539
2024-11-07 23:07:00.000 UTC,5115176.443588179
2024-11-07 23:11:00.000 UTC,15110488.301300667
2024-11-07 23:29:00.000 UTC,5829366.408233792
2024-11-07 23:39:00.000 UTC,9044644.784478195
2024-11-07 23:45:00.000 UTC,686218.765444586
2024-11-08 00:13:00.000 UTC,13404446.545294028
2024-11-08 00:22:00.000 UTC,781442.0798016489
2024-11-08 00:31:00.000 UTC,17598876.79693355
2024-11-08 00:37:00.000 UTC,-7804922.91937812
2024-11-08 00:46:00.000 UTC,-36130478.317856
2024-11-08 00:55:00.000 UTC,1654633.6955059692
2024-11-08 00:56:00.000 UTC,-1302053.0151426306
2024-11-08 01:03:00.000 UTC,1127702.4516991377
2024-11-08 01:10:00.000 UTC,2468018.9810538813
2024-11-08 01:18:00.000 UTC,7884563.982536952
2024-11-08 01:21:00.000 UTC,-1452.040704133804
2024-11-08 01:30:00.000 UTC,-541131.0835970901
2024-11-08 01:58:00.000 UTC,12978339.203975055
2024-11-08 02:02:00.000 UTC,5361451.661239518
2024-11-08 02:59:00.000 UTC,59809824.62087536
2024-11-08 03:03:00.000 UTC,-23473286.70881099
2024-11-08 03:06:00.000 UTC,4432908.352825493
2024-11-08 03:09:00.000 UTC,-1001920.5749190524
2024-11-08 03:29:00.000 UTC,20113027.277361576
2024-11-08 03:46:00.000 UTC,11633683.099230152
2024-11-08 03:52:00.000 UTC,37701180.02798121
2024-11-08 03:59:00.000 UTC,23526277.861056205
2024-11-08 04:08:00.000 UTC,11749326.85581851
2024-11-08 04:22:00.000 UTC,-5268592.613760423
2024-11-08 04:29:00.000 UTC,9326526.69873757
2024-11-08 04:31:00.000 UTC,695.9671606694999
2024-11-08 04:40:00.000 UTC,-185036773.06694114
2024-11-08 04:48:00.000 UTC,19971673.58877121
2024-11-08 04:51:00.000 UTC,-210453.45874193497
2024-11-08 05:01:00.000 UTC,40097843.81593626
2024-11-08 05:12:00.000 UTC,-2608050.900201969
2024-11-08 05:28:00.000 UTC,6882338.000789583
2024-11-08 05:41:00.000 UTC,7139050.63157808
2024-11-08 06:01:00.000 UTC,12947293.660695735
2024-11-08 06:02:00.000 UTC,-688198.1434383803
2024-11-08 06:44:00.000 UTC,-8980389.314932145
2024-11-08 06:45:00.000 UTC,-768618.8940563663
2024-11-08 07:02:00.000 UTC,1915998.8851172533
2024-11-08 07:06:00.000 UTC,1814432.7234145293
2024-11-08 07:08:00.000 UTC,4063706.7931233253
2024-11-08 07:16:00.000 UTC,1994236.7240896774
2024-11-08 07:22:00.000 UTC,6832991.628722888
2024-11-08 07:24:00.000 UTC,7530677.617789023
2024-11-08 07:44:00.000 UTC,10183708.40433693
2024-11-08 07:49:00.000 UTC,9995409.544670297
2024-11-08 07:56:00.000 UTC,9958329.447673433
2024-11-08 08:27:00.000 UTC,51017304.223294914
2024-11-08 08:36:00.000 UTC,-3973248.4178956244
2024-11-08 08:46:00.000 UTC,-37037587.67318438
2024-11-08 08:55:00.000 UTC,-9127503.309029192
2024-11-08 09:20:00.000 UTC,-2232688.182480216
2024-11-08 09:29:00.000 UTC,1360404.1478179106
2024-11-08 09:39:00.000 UTC,36379320.205175996
2024-11-08 09:47:00.000 UTC,6434194.048327573
2024-11-08 09:59:00.000 UTC,7611003.355494887
2024-11-08 10:01:00.000 UTC,5261984.085827351
2024-11-08 10:08:00.000 UTC,8356154.46096506
2024-11-08 10:57:00.000 UTC,33885822.873348504
2024-11-08 10:59:00.000 UTC,-27745855.202037454
2024-11-08 11:17:00.000 UTC,2290983.149215609
2024-11-08 11:18:00.000 UTC,-59912376.426062375
2024-11-08 11:25:00.000 UTC,-1879935.0867738724
2024-11-08 11:34:00.000 UTC,7690922.913077551
2024-11-08 11:43:00.000 UTC,2612229.0126475543
2024-11-08 12:06:00.000 UTC,4067064.93198647
2024-11-08 12:07:00.000 UTC,-360289.0771331713
2024-11-08 12:35:00.000 UTC,38389779.873907804
2024-11-08 12:57:00.000 UTC,7826419.457483113
2024-11-08 13:06:00.000 UTC,-32122637.548296124
